age,workclass,loan_amount,Education,Years_of_education,Martial_status,Occupation,Race,Gender,Capital_gain,Capital_loss,Weekly_work_hours,Country/area_of_origin,income,Index,Employed,Bank_Balance,loan_purpose,credit_history,past_bankruptcy,Default
55,State-gov,128238,Assoc-voc,11,Widowed,Exec-managerial,Amer-Indian-Eskimo,Female,0,0,38,Australia,<=50K,8666,0,5378.88,Debt Consolidation,11.9,0,1
38,Private,153252,Bachelors,13,Divorced,Adm-clerical,Asian-Pac-Islander,Female,0,213,40,Philippines,<=50K,1516,0,8888.88,Debt Consolidation,15.7,0,0
45,Private,91894,HS-grad,9,Divorced,Craft-repair,Asian-Pac-Islander,Male,10520,0,40,Australia,>50K,2257,0,8709.48,Debt Consolidation,17.5,0,0
39,Private,244926,Some-college,10,Divorced,Sales,Asian-Pac-Islander,Female,0,0,38,Australia,<=50K,8203,0,15471.84,Debt Consolidation,14.4,0,0
37,Private,465410,1st-4th,2,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,Cambodia,<=50K,7959,0,15907.44,Buy House,22.3,0,0
46,Private,99999999,7th-8th,4,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,0,1651,40,China,<=50K,1187,0,8403.96,Debt Consolidation,12,0,0
32,Private,443960,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,China,>50K,7438,0,29538.12,Debt Consolidation,14,0,0
53,Self-emp-not-inc,99999999,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,7688,0,20,China,>50K,2587,0,12858.12,Debt Consolidation,20,0,0
57,State-gov,107404,Bachelors,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0,1485,40,China,<=50K,1422,0,9498.36,other,43.7,0,1
41,Private,99999999,Masters,14,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,45,China,>50K,5709,0,6166.08,Business Loan,18,0,0
56,State-gov,334620,Doctorate,16,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,2885,0,40,China,<=50K,3803,0,9896.28,Debt Consolidation,20,0,0
41,Private,130174,Assoc-voc,11,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,7298,0,60,India,>50K,2801,0,24430.32,Debt Consolidation,15.4,1,0
46,Private,333564,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0,0,40,India,<=50K,9640,0,9705.96,Debt Consolidation,14.6,0,0
29,Private,109318,Bachelors,13,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,30,India,<=50K,8142,0,2727.84,Buy a Car,22.7,0,0
30,Private,125796,Bachelors,13,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,0,0,40,India,<=50K,8115,0,13231.56,Debt Consolidation,24.5,0,0
38,State-gov,99999999,Bachelors,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,7688,0,60,India,>50K,2644,0,16072.32,Debt Consolidation,14.1,0,0
53,Private,161172,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,99999,0,50,India,>50K,1583,0,22082.64,Debt Consolidation,22.6,0,0
53,Private,259842,Masters,14,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,4386,0,40,India,>50K,3343,0,23515.2,Debt Consolidation,20.6,0,0
40,Private,449108,Bachelors,13,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,7688,0,52,Japan,>50K,2553,0,15166.56,Debt Consolidation,28.8,0,0
50,Self-emp-inc,688468,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,7688,0,50,Japan,>50K,2544,0,5941.32,Debt Consolidation,16.6,0,0
24,Private,210166,Some-college,10,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,Laos,<=50K,4491,0,6547.32,Debt Consolidation,14,0,1
31,,327008,HS-grad,9,Married-civ-spouse,,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K,9721,0,9589.92,Debt Consolidation,16.7,0,0
53,Federal-gov,288948,Some-college,10,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,0,1887,40,Philippines,>50K,750,0,14347.08,Debt Consolidation,14.8,0,0
41,Private,311762,Bachelors,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,3103,0,35,Philippines,>50K,3757,0,20730.6,Debt Consolidation,14.5,0,0
44,Federal-gov,266112,Bachelors,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K,6179,0,7273.56,Debt Consolidation,21.6,0,0
45,Private,129712,Bachelors,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,5178,0,40,Philippines,>50K,3081,0,2287.44,Debt Consolidation,19.4,0,0
45,Private,287980,Bachelors,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K,5810,0,12706.44,Debt Consolidation,18.6,0,0
40,Federal-gov,439428,Masters,14,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Male,0,1902,40,Philippines,>50K,571,0,10777.32,Debt Consolidation,17.8,0,0
36,Self-emp-not-inc,456808,HS-grad,9,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,0,0,20,South,<=50K,7753,0,4149.6,Debt Consolidation,14.1,0,0
54,Private,518012,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,15024,0,60,South,>50K,1897,0,22033.92,Debt Consolidation,20.9,0,1
57,Private,219692,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,4508,0,40,South,<=50K,3260,0,7065.12,Debt Consolidation,17,0,1
58,Private,214874,Bachelors,13,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,0,0,40,South,<=50K,8846,0,24174,Debt Consolidation,15.6,0,0
33,Self-emp-inc,374176,HS-grad,9,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,0,0,84,Poland,>50K,7609,0,15014.28,other,36.6,0,0
35,Private,99999999,Doctorate,16,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,1902,40,Poland,>50K,684,0,2252.16,Debt Consolidation,40.8,0,0
35,Private,176198,Doctorate,16,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,Poland,>50K,4800,0,8081.64,Debt Consolidation,15.4,0,0
37,Self-emp-inc,78012,Some-college,10,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,0,0,75,Thailand,>50K,4461,0,8943.36,major_purchase,11.4,0,0
72,Private,669372,9th,5,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,0,0,48,Australia,>50K,5957,0,10409.28,Debt Consolidation,9.2,0,0
30,Private,130922,HS-grad,9,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,3411,0,40,Australia,<=50K,3553,0,13649.04,Debt Consolidation,16.1,0,0
39,State-gov,174548,HS-grad,9,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,3464,0,20,Australia,<=50K,3520,0,6508.68,Take a Trip,15,0,0
60,Private,290224,HS-grad,9,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,Australia,<=50K,4415,0,746.88,Debt Consolidation,18.3,0,0
62,Private,718784,Some-college,10,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,0,0,40,Australia,>50K,6995,0,25109.52,Debt Consolidation,12,0,0
29,Private,152548,Assoc-voc,11,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,7298,0,32,Australia,>50K,2906,0,7722.84,Debt Consolidation,12.1,0,0
42,Self-emp-not-inc,602008,Assoc-voc,11,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,2885,0,40,Australia,<=50K,3816,0,11260.08,Debt Consolidation,19.6,0,0
38,Self-emp-not-inc,171248,Bachelors,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,3103,0,60,Australia,>50K,3719,0,14851.44,Debt Consolidation,31.5,0,0
39,Private,523908,Masters,14,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,15024,0,40,Australia,>50K,1806,0,11817.12,Debt Consolidation,19.3,0,0
24,Private,323466,11th,7,Married-civ-spouse,Transport-moving,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K,7544,0,9040.56,Debt Consolidation,14,1,0
63,Private,751520,HS-grad,9,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,2105,0,40,Vietnam,<=50K,4061,0,26592.24,Debt Consolidation,20.5,0,0
39,Self-emp-inc,289388,Bachelors,13,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,7688,0,40,,>50K,2514,0,11909.28,Debt Consolidation,16,0,0
39,Private,144562,Bachelors,13,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Male,3137,0,40,,<=50K,3643,0,4408.32,Debt Consolidation,21.8,0,0
45,Self-emp-inc,211222,Bachelors,13,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,99999,0,25,,>50K,1650,0,8532.36,Debt Consolidation,18,1,0
54,Self-emp-inc,162360,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,7688,0,40,,>50K,2571,0,9792.48,Debt Consolidation,15.1,0,0
39,,99999999,Masters,14,Married-civ-spouse,,Asian-Pac-Islander,Female,3464,0,40,,<=50K,3509,0,15944.04,Debt Consolidation,25.6,0,0
43,Federal-gov,311058,Prof-school,15,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,2415,55,,>50K,88,0,1949.4,Debt Consolidation,31.4,0,0
52,Private,767536,9th,5,Married-spouse-absent,Machine-op-inspct,Asian-Pac-Islander,Female,0,0,30,China,<=50K,8938,0,12601.8,Debt Consolidation,29.5,0,0
41,Private,133034,HS-grad,9,Married-spouse-absent,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,Japan,>50K,6879,0,14623.8,other,13.8,0,1
42,Private,389884,Bachelors,13,Married-spouse-absent,Tech-support,Asian-Pac-Islander,Female,0,0,40,Australia,<=50K,7685,0,9529.8,Debt Consolidation,21.5,1,1
34,Private,163966,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Asian-Pac-Islander,Male,0,2339,40,,<=50K,149,0,14138.88,Home Improvements,6.4,0,1
34,Federal-gov,433312,Bachelors,13,Never-married,Exec-managerial,Asian-Pac-Islander,Male,1471,0,40,Cambodia,<=50K,4119,0,17482.32,Debt Consolidation,16.1,0,0
29,State-gov,99999999,Some-college,10,Never-married,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,4803,0,18142.68,Debt Consolidation,10.5,0,0
33,Private,99999999,Bachelors,13,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,4363,0,20140.56,other,13,0,0
34,Private,89320,Bachelors,13,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,9019,0,14512.56,Other,19,0,0
40,Private,392282,Bachelors,13,Never-married,Tech-support,Asian-Pac-Islander,Female,0,2258,48,Philippines,<=50K,168,0,10542.48,Debt Consolidation,12,0,0
45,Private,444620,Masters,14,Never-married,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,5770,0,5066.28,Home Improvements,11.8,0,0
26,Private,262988,Bachelors,13,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,Poland,<=50K,9102,0,3957.12,Debt Consolidation,28.2,0,1
35,Private,498586,Bachelors,13,Never-married,Sales,Asian-Pac-Islander,Male,0,1590,40,South,<=50K,1310,0,17892.6,Other,12.2,0,0
20,,378334,Some-college,10,Never-married,,Asian-Pac-Islander,Female,0,1602,40,Poland,<=50K,1231,0,12439.2,Debt Consolidation,17,0,0
23,Private,99999999,Bachelors,13,Never-married,Sales,Asian-Pac-Islander,Male,0,0,50,Poland,<=50K,7789,0,12096.36,Debt Consolidation,44.5,0,0
29,Private,194942,Bachelors,13,Never-married,Adm-clerical,Asian-Pac-Islander,Female,2202,0,40,Poland,<=50K,3981,0,10636.2,Debt Consolidation,27.4,1,0
29,Local-gov,731566,Masters,14,Never-married,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,Poland,<=50K,6732,0,6031.8,Debt Consolidation,20.4,0,0
17,Private,479358,11th,7,Never-married,Sales,Asian-Pac-Islander,Male,0,0,28,Australia,<=50K,4983,0,22536,Debt Consolidation,22.4,0,1
18,Private,336908,HS-grad,9,Never-married,Sales,Asian-Pac-Islander,Female,0,0,40,Australia,<=50K,9551,0,14747.88,Debt Consolidation,29.1,0,1
20,Private,270116,HS-grad,9,Never-married,Adm-clerical,Asian-Pac-Islander,Female,0,0,15,Australia,<=50K,9987,0,4815.96,Debt Consolidation,31.3,0,1
23,Private,156772,HS-grad,9,Never-married,Sales,Asian-Pac-Islander,Male,0,0,40,Australia,<=50K,8367,0,22898.88,Home Improvements,18,0,1
29,Local-gov,306548,HS-grad,9,Never-married,Handlers-cleaners,Asian-Pac-Islander,Male,0,1590,45,Australia,<=50K,1311,0,0,Debt Consolidation,17.5,0,1
35,Private,432080,HS-grad,9,Never-married,Transport-moving,Asian-Pac-Islander,Male,0,0,60,Australia,<=50K,8950,0,13825.44,Debt Consolidation,17.9,0,1
21,Private,158818,Some-college,10,Never-married,Other-service,Asian-Pac-Islander,Female,0,0,25,Australia,<=50K,4489,0,17683.56,Debt Consolidation,31.3,0,0
26,Private,78738,Some-college,10,Never-married,Adm-clerical,Asian-Pac-Islander,Female,0,0,35,Australia,<=50K,6428,0,8805.36,other,10.5,0,0
39,Self-emp-not-inc,453464,Some-college,10,Never-married,Craft-repair,Asian-Pac-Islander,Male,0,0,30,Australia,<=50K,8214,0,11992.68,Debt Consolidation,14.2,1,0
43,Private,595672,Some-college,10,Never-married,Handlers-cleaners,Asian-Pac-Islander,Female,1055,0,40,Australia,<=50K,4168,0,26191.2,Debt Consolidation,25.9,0,0
90,Private,166672,Some-college,10,Never-married,Other-service,Asian-Pac-Islander,Male,0,0,35,Australia,<=50K,6228,0,17387.4,Debt Consolidation,16,0,0
32,Federal-gov,132792,Assoc-voc,11,Never-married,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,Australia,<=50K,8232,0,4876.08,other,14.7,0,0
23,Private,119504,Bachelors,13,Never-married,Exec-managerial,Asian-Pac-Islander,Male,0,0,24,Australia,<=50K,9088,0,8470.56,Buy House,13,0,0
24,Federal-gov,33022,Bachelors,13,Never-married,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,Australia,<=50K,6916,0,19903.2,Debt Consolidation,23.3,0,0
27,Private,448976,Bachelors,13,Never-married,Prof-specialty,Asian-Pac-Islander,Male,13550,0,40,Australia,>50K,2218,0,21744.96,Debt Consolidation,19.7,0,0
35,Private,280588,Bachelors,13,Never-married,Tech-support,Asian-Pac-Islander,Female,4650,0,40,Australia,<=50K,3239,0,23592.72,Debt Consolidation,10,1,0
25,Private,556336,HS-grad,9,Never-married,Other-service,Asian-Pac-Islander,Male,4101,0,60,,<=50K,3373,0,12743.16,Debt Consolidation,19.5,0,0
21,,541310,Bachelors,13,Never-married,,Asian-Pac-Islander,Male,0,0,25,,<=50K,7325,0,9331.68,Debt Consolidation,17.9,0,0
28,State-gov,311872,11th,7,Separated,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,India,<=50K,6068,0,9380.16,Debt Consolidation,12.2,0,0
52,Private,340604,HS-grad,9,Widowed,Other-service,Asian-Pac-Islander,Female,0,0,40,India,>50K,5384,0,1414.8,Debt Consolidation,14.4,0,0
58,Private,765160,5th-6th,3,Divorced,Machine-op-inspct,Black,Male,0,0,40,Australia,<=50K,5407,0,15510.84,Debt Consolidation,20.5,0,0
69,Private,109802,7th-8th,4,Divorced,Machine-op-inspct,Black,Female,2964,0,40,Australia,<=50K,3773,0,12723.12,Debt Consolidation,11,0,0
66,State-gov,349756,10th,6,Divorced,Other-service,Black,Female,0,0,40,Australia,<=50K,8250,0,6674.16,Debt Consolidation,21.5,0,0
58,Federal-gov,545886,11th,7,Divorced,Craft-repair,Black,Female,14084,0,40,Australia,>50K,2199,0,7616.16,Debt Consolidation,15,0,0
24,Local-gov,99999999,HS-grad,9,Divorced,Protective-serv,Black,Female,0,0,40,Australia,<=50K,5904,0,6768.12,Debt Consolidation,12.3,0,0
34,Private,354046,HS-grad,9,Divorced,Priv-house-serv,Black,Female,0,0,30,Australia,<=50K,5133,0,9837.96,Home Improvements,13,0,0
34,Private,472098,HS-grad,9,Divorced,Machine-op-inspct,Black,Female,0,0,40,Australia,<=50K,6640,0,13344,Debt Consolidation,28.2,0,0
39,State-gov,86174,HS-grad,9,Divorced,Other-service,Black,Female,0,0,40,Australia,<=50K,8660,0,11916.6,Debt Consolidation,13.6,0,0
41,Private,509586,HS-grad,9,Divorced,Sales,Black,Female,0,0,38,Australia,<=50K,4430,0,14634.96,Debt Consolidation,13.9,1,0
41,Local-gov,99999999,HS-grad,9,Divorced,Transport-moving,Black,Female,0,0,38,Australia,<=50K,8709,0,16557.24,Debt Consolidation,16.1,0,0
42,Private,218988,HS-grad,9,Divorced,Protective-serv,Black,Male,0,0,35,Australia,<=50K,6395,0,13605.84,Debt Consolidation,14.9,0,0
42,,176462,HS-grad,9,Divorced,,Black,Female,0,0,40,Australia,<=50K,7646,0,2495.16,Home Improvements,26.5,0,0
42,Private,328262,HS-grad,9,Divorced,Exec-managerial,Black,Female,5455,0,50,Australia,<=50K,2991,0,4476.72,Debt Consolidation,10.2,0,0
43,Private,663168,HS-grad,9,Divorced,Other-service,Black,Female,0,1762,35,Australia,<=50K,1002,0,13259.4,Debt Consolidation,17,0,0
47,Private,338030,HS-grad,9,Divorced,Exec-managerial,Black,Female,0,0,40,Australia,>50K,9221,0,11793.6,Debt Consolidation,16.9,0,0
47,Private,446094,HS-grad,9,Divorced,Craft-repair,Black,Male,8614,0,44,Australia,>50K,2356,0,14819.28,Debt Consolidation,7,0,0
49,Private,133078,HS-grad,9,Divorced,Machine-op-inspct,Black,Female,0,0,40,Australia,<=50K,8027,0,9243.48,Debt Consolidation,12.5,0,0
51,Local-gov,278058,HS-grad,9,Divorced,Transport-moving,Black,Male,0,0,40,Australia,<=50K,7569,0,15531.48,Debt Consolidation,15.9,0,0
52,Private,99999999,HS-grad,9,Divorced,Other-service,Black,Female,0,0,38,Australia,<=50K,5645,0,4945.92,Debt Consolidation,10.7,0,0
58,Private,752290,HS-grad,9,Divorced,Adm-clerical,Black,Female,0,0,36,Australia,<=50K,9530,0,10651.92,Debt Consolidation,13.4,0,0
24,Local-gov,99999999,Some-college,10,Divorced,Handlers-cleaners,Black,Male,0,0,50,Australia,<=50K,4684,0,18812.16,Debt Consolidation,10.7,0,0
28,Private,105556,Some-college,10,Divorced,Machine-op-inspct,Black,Female,0,0,25,Australia,<=50K,4315,0,12670.32,Debt Consolidation,20.7,0,0
30,Private,262724,Some-college,10,Divorced,Adm-clerical,Black,Female,0,0,37,Australia,<=50K,9902,0,13545.24,Debt Consolidation,21.8,0,0
40,State-gov,54076,Some-college,10,Divorced,Adm-clerical,Black,Female,0,0,35,Australia,<=50K,6804,0,18847.92,Debt Consolidation,9,0,0
41,Local-gov,552882,Some-college,10,Divorced,Other-service,Black,Female,0,0,24,Australia,<=50K,4584,0,15669.72,Debt Consolidation,23.4,0,0
54,Local-gov,257400,Some-college,10,Divorced,Exec-managerial,Black,Female,0,0,35,Australia,<=50K,5054,0,17676.36,Debt Consolidation,15.7,0,0
29,Private,462088,Assoc-voc,11,Divorced,Tech-support,Black,Male,14344,0,40,Australia,>50K,2157,0,9546.48,Debt Consolidation,14.8,0,0
40,Private,460152,Assoc-acdm,12,Divorced,Adm-clerical,Black,Female,0,0,32,Australia,<=50K,9495,0,13550.76,Debt Consolidation,20.5,0,0
42,State-gov,402534,Assoc-acdm,12,Divorced,Prof-specialty,Black,Male,0,0,40,Australia,<=50K,8452,0,8570.16,Debt Consolidation,19.6,0,0
46,Private,129844,Assoc-acdm,12,Divorced,Tech-support,Black,Female,0,0,36,Australia,<=50K,4347,0,5590.44,Debt Consolidation,14.2,0,0
41,Private,232716,Bachelors,13,Divorced,Transport-moving,Black,Male,6497,0,40,Australia,<=50K,2963,0,15306.48,Home Improvements,9.5,0,0
42,State-gov,286462,Bachelors,13,Divorced,Adm-clerical,Black,Female,2977,0,40,Australia,<=50K,3769,0,8706.84,Debt Consolidation,15.7,0,0
61,Private,223256,Bachelors,13,Divorced,Sales,Black,Male,4787,0,48,Australia,>50K,3201,0,15393.12,Debt Consolidation,34.4,0,0
62,Local-gov,348832,Bachelors,13,Divorced,Prof-specialty,Black,Female,0,0,40,Australia,<=50K,8341,0,8201.28,Debt Consolidation,13,0,0
42,Private,537878,Masters,14,Divorced,Tech-support,Black,Female,4687,0,35,Australia,>50K,3217,0,12729.36,Debt Consolidation,18.4,0,0
49,State-gov,196460,Masters,14,Divorced,Prof-specialty,Black,Female,7430,0,40,Australia,>50K,2668,0,5322.48,Debt Consolidation,23.5,0,0
45,Private,214786,Doctorate,16,Divorced,Prof-specialty,Black,Female,0,3004,35,Australia,>50K,11,0,0,Debt Consolidation,14.3,0,0
37,Private,109538,Some-college,10,Married-civ-spouse,Exec-managerial,Black,Male,0,1887,60,Cuba,>50K,879,0,14849.4,Debt Consolidation,14.3,0,0
32,Private,259116,Bachelors,13,Married-civ-spouse,Exec-managerial,Black,Male,0,0,40,England,>50K,9563,0,19565.88,Other,31.4,0,0
44,Private,117986,HS-grad,9,Married-civ-spouse,Craft-repair,Black,Male,0,1485,40,Haiti,<=50K,1430,0,7116.72,Debt Consolidation,12,0,0
30,Private,133804,Prof-school,15,Married-civ-spouse,Prof-specialty,Black,Male,0,1740,40,Haiti,<=50K,1045,0,11707.68,Business Loan,13.6,0,0
54,Private,87846,Assoc-voc,11,Married-civ-spouse,Protective-serv,Black,Male,15024,0,38,Jamaica,>50K,2072,0,12137.52,Debt Consolidation,50.1,0,0
57,Private,332684,HS-grad,9,Married-civ-spouse,Tech-support,Black,Male,0,1887,40,Trinadad&Tobago,>50K,790,0,12650.4,Debt Consolidation,14.5,0,0
47,Private,190498,7th-8th,4,Married-civ-spouse,Craft-repair,Black,Male,0,0,60,Australia,>50K,8345,0,15685.08,Debt Consolidation,13.2,0,0
45,Private,448822,9th,5,Married-civ-spouse,Adm-clerical,Black,Male,5178,0,40,Australia,>50K,3015,0,6834,Debt Consolidation,33.1,0,0
51,Local-gov,229086,9th,5,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,Australia,<=50K,7783,0,6285.96,Debt Consolidation,23.9,1,0
56,Private,393558,9th,5,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,Australia,<=50K,9518,0,12033.36,Debt Consolidation,14.7,0,0
55,Private,151954,10th,6,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,Australia,>50K,8120,0,6207.6,Debt Consolidation,12.5,0,0
62,Private,99999999,10th,6,Married-civ-spouse,Machine-op-inspct,Black,Male,0,0,40,Australia,<=50K,9338,0,23292.6,Debt Consolidation,13.5,0,0
39,Private,254562,11th,7,Married-civ-spouse,Other-service,Black,Male,2635,0,37,Australia,<=50K,3858,0,25425.6,Debt Consolidation,17.5,0,0
46,Private,87912,11th,7,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,Australia,<=50K,9777,0,17359.68,Debt Consolidation,43.3,0,0
50,,156178,11th,7,Married-civ-spouse,,Black,Female,0,0,40,Australia,<=50K,5893,0,13869.36,Other,12,0,0
64,Local-gov,645018,11th,7,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,Australia,>50K,6811,0,20994.6,Debt Consolidation,24,0,1
